"t","month","month_num","state","with_kids","low_income","n_hungry","n_fi","n_nonconf","sufficiency_respondents","confidence_respondents","n_snap","pebt","bach_or_higher","highschool_degree","no_highschool_degree","some_college","asian","black","latino","other","white","people"
1,"april",4,"Alaska",1,1,14575.423897502,23122.5484518913,44259.344935164,63976.944984453,63976.944984453,10811.2511774212,0,14174.599146971,34211.99365053,5238.73661764,10351.615569312,7938.487241237,1691.10059677,6857.823622398,21377.460728553,26112.072795495,63976.944984453
1,"april",4,"Alaska",1,NA,3592.2763566,7778.21716351765,8075.208435648,43668.020702018,29023.860479706,5340.47243952767,0,5246.72241109,25063.31679563,4048.26629667,9309.715198628,4015.360674063,1002.6329505,4684.14522554,20659.616842546,13306.265009369,44832.76045112
1,"april",4,"Arizona",0,0,97275.278517636,387442.933743641,959327.596410066,2267632.20877474,2268777.52991034,44181.7827704411,0,1070404.4456709,628145.99785237,58981.0509195,510100.714331976,46603.25149947,87266.246876419,322336.26269819,59352.77769995,1752073.67000071,2270271.69676864
1,"april",4,"Arizona",0,1,96903.05469368,169313.624380719,422891.09801917,517787.78108417,519438.47839937,88619.8993401,0,131507.48675326,148839.55969904,69870.2139317,167570.52070017,26400.6287084,15636.18477372,105144.45788171,25367.59834922,345238.91137112,519438.47839937
1,"april",4,"Arizona",0,NA,2488.36113406,73702.7107123169,63409.89432185,343180.88938435,136403.88664407,24255.5049101111,0,105348.78749558,74106.4124062,56780.5006267,106945.18885587,7123.316213,6753.48165041,87940.486431,26875.3416131,214488.26347684,384991.83280661
1,"april",4,"Arizona",1,0,98543.7899243,265239.13695634,532750.01339811,1101335.32354482,1102172.09426714,24774.4691582667,0,607909.54141263,189459.04306086,50663.540318,253303.19875333,79195.55106336,47963.83742803,331872.90683356,76796.4405062,565506.58771367,1102172.09426714
1,"april",4,"Arizona",1,1,140527.01507954,296224.752735365,723532.25370198,788549.23552102,795665.19179692,120732.717920934,0,134911.34303816,313194.53548071,189329.8846754,151113.47232675,21485.3557152,50120.26860919,454792.11444803,72532.58741728,189618.90933132,795665.19179692
1,"april",4,"Arizona",1,NA,88050.39552598,158896.395226992,180436.90215643,464686.10239473,235501.54147903,51262.39895709,0,94036.45502855,126471.0125267,153273.8692375,90904.76560198,16860.3438012,23291.84959281,217448.292717,39404.2075674,167681.40871632,524728.70596542
1,"april",4,"Arkansas",0,0,18066.01360821,109379.906781285,338805.8805551,703648.65537257,703648.65537257,6242.15102377222,0,294019.45681964,237633.7251718,20700.0040418,151295.46933933,1003.1162892,19703.54350758,10371.67008042,23323.4520843,649246.87341107,703648.65537257
1,"april",4,"Arkansas",0,1,77195.90679819,108681.226375741,238918.39432658,305232.37433451,305232.37433451,39856.2699320167,0,32864.17879135,210082.23819928,16956.3965977,45329.56074618,0,48214.20433148,3510.60594898,27254.4809514,226253.08310265,305232.37433451
1,"april",4,"Arkansas",0,NA,45795.51963827,71803.495107778,41696.19986492,280699.96558073,91812.76011157,8810.03448160625,0,48941.99397497,118195.2575873,17503.7767744,96058.93724406,0,28148.49735558,14644.0036795,23798.184258,214109.28028765,300255.23531221
1,"april",4,"Arkansas",1,0,10924.33780203,101265.720908841,197333.282967994,435205.532653674,436596.780749474,4248.04835766286,0,195917.3951771,155031.8543716,2830.4151186,81425.867986374,11026.96665269,27116.95563585,10602.1715474,27320.9833144,359138.455503334,436596.780749474
1,"april",4,"Arkansas",1,1,95236.33745598,176708.1417804,312685.61473737,344005.55106952,344005.55106952,48212.0877577089,0,65173.76639461,162886.4760745,38734.3423336,77210.96626681,1361.0489551,69470.81531902,14312.36906892,55862.31874738,202998.9989791,344005.55106952
