"state","t","pebt","est_beneficiaries","application"
"Alabama",13,"0",461000,"none"
"Alaska",13,"0",73000,"all_but_snap"
"Arizona",13,"0",703000,"none"
"Arkansas",13,"0",303120,"none"
"California",13,"0",3927173,"all_but_snap"
"Colorado",13,"0",356099,"all_but_snap"
"Connecticut",13,"0",289407,"none"
"Delaware",13,"0",61602,"none"
"District of Columbia",13,"0",86415,"none"
"Florida",13,"0",2065374,"none"
"Georgia",13,"0",1100000,"all_but_snap"
"Hawaii",13,"0",93297,"none"
"Idaho",13,"0",130000,"none"
"Illinois",13,"0",1099786,"all_but_snap"
"Indiana",13,"0",588127,"none"
"Iowa",13,"0",249404,"none"
"Kansas",13,"0",169795,"all_but_snap"
"Kentucky",13,"0",601551,"all_but_snap"
"Louisiana",13,"0",732204,"all"
"Maine",13,"0",84000,"all_but_snap"
"Maryland",13,"0",430954,"none"
"Massachusetts",13,"0",522000,"none"
"Michigan",13,"0",829722,"none"
"Minnesota",13,"0",349952,"all_but_snap"
"Mississippi",13,"0",345827,"none"
"Missouri",13,"0",454690,"all_but_snap"
"Montana",13,"0",48385,"none"
"Nebraska",13,"0",156257,"all_but_snap"
"Nevada",13,"0",334000,"none"
"New Hampshire",13,"0",45190,"all_but_snap"
"New Jersey",13,"0",594207,"none"
"New Mexico",13,"0",245000,"none"
"New York",13,"0",2077711,"none"
"North Carolina",13,"0",903320,"none"
"North Dakota",13,"0",39760,"all_but_snap"
"Ohio",13,"0",850000,"none"
"Oklahoma",13,"0",312021,"none"
"Oregon",13,"0",351000,"none"
"Pennsylvania",13,"0",991843,"none"
"Rhode Island",13,"0",74622,"none"
"South Carolina",13,"0",467000,"none"
"South Dakota",13,"0",62000,"all_but_snap"
"Tennessee",13,"0",615610,"all_but_snap"
"Texas",13,"0",3641635,"all_but_snap"
"Utah",13,"0",75000,"all_but_snap"
"Vermont",13,"0",39000,"none"
"Virginia",13,"0",594494,"none"
"Washington",13,"0",560267,"all_but_snap"
"West Virginia",13,"0",204542,"none"
"Wisconsin",13,"0",438000,"all_but_snap"
"Wyoming",13,"0",36271,"all"
"Alabama",14,"0",461000,"none"
"Alaska",14,"0",73000,"all_but_snap"
"Arizona",14,"0",703000,"none"
"Arkansas",14,"0",303120,"none"
"California",14,"0",3927173,"all_but_snap"
"Colorado",14,"0",356099,"all_but_snap"
"Connecticut",14,"0",289407,"none"
"Delaware",14,"0",61602,"none"
"District of Columbia",14,"0",86415,"none"
"Florida",14,"0",2065374,"none"
"Georgia",14,"0",1100000,"all_but_snap"
"Hawaii",14,"0",93297,"none"
"Idaho",14,"0",130000,"none"
"Illinois",14,"0",1099786,"all_but_snap"
"Indiana",14,"0",588127,"none"
"Indiana",14,"1",588127,"none"
"Iowa",14,"0",249404,"none"
"Kansas",14,"0",169795,"all_but_snap"
"Kentucky",14,"2",601551,"all_but_snap"
"Kentucky",14,"0",601551,"all_but_snap"
"Louisiana",14,"0",732204,"all"
"Maine",14,"0",84000,"all_but_snap"
"Maryland",14,"0",430954,"none"
"Massachusetts",14,"0",522000,"none"
"Michigan",14,"0",829722,"none"
"Minnesota",14,"0",349952,"all_but_snap"
"Mississippi",14,"0",345827,"none"
"Missouri",14,"0",454690,"all_but_snap"
"Montana",14,"0",48385,"none"
"Nebraska",14,"0",156257,"all_but_snap"
"Nevada",14,"0",334000,"none"
"New Hampshire",14,"0",45190,"all_but_snap"
"New Jersey",14,"0",594207,"none"
"New Mexico",14,"0",245000,"none"
"New York",14,"0",2077711,"none"
"North Carolina",14,"0",903320,"none"
"North Dakota",14,"0",39760,"all_but_snap"
"Ohio",14,"0",850000,"none"
"Oklahoma",14,"0",312021,"none"
"Oregon",14,"0",351000,"none"
"Pennsylvania",14,"0",991843,"none"
"Rhode Island",14,"0",74622,"none"
"South Carolina",14,"0",467000,"none"
"South Dakota",14,"0",62000,"all_but_snap"
"Tennessee",14,"0",615610,"all_but_snap"
"Texas",14,"0",3641635,"all_but_snap"
"Utah",14,"0",75000,"all_but_snap"
"Vermont",14,"0",39000,"none"
"Virginia",14,"0",594494,"none"
"Washington",14,"0",560267,"all_but_snap"
"West Virginia",14,"0",204542,"none"
"Wisconsin",14,"0",438000,"all_but_snap"
"Wyoming",14,"0",36271,"all"
"Alabama",15,"0",461000,"none"
"Alaska",15,"0",73000,"all_but_snap"
"Arizona",15,"0",703000,"none"
"Arkansas",15,"0",303120,"none"
"California",15,"0",3927173,"all_but_snap"
"Colorado",15,"0",356099,"all_but_snap"
"Connecticut",15,"0",289407,"none"
"Delaware",15,"0",61602,"none"
"District of Columbia",15,"0",86415,"none"
"Florida",15,"0",2065374,"none"
"Georgia",15,"0",1100000,"all_but_snap"
"Hawaii",15,"0",93297,"none"
"Idaho",15,"0",130000,"none"
"Illinois",15,"0",1099786,"all_but_snap"
"Indiana",15,"0",588127,"none"
"Iowa",15,"0",249404,"none"
"Kansas",15,"0",169795,"all_but_snap"
"Kentucky",15,"0",601551,"all_but_snap"
"Kentucky",15,"1",601551,"all_but_snap"
"Louisiana",15,"0",732204,"all"
"Maine",15,"0",84000,"all_but_snap"
"Maryland",15,"0",430954,"none"
"Massachusetts",15,"0",522000,"none"
"Michigan",15,"0",829722,"none"
"Minnesota",15,"0",349952,"all_but_snap"
"Mississippi",15,"0",345827,"none"
"Missouri",15,"0",454690,"all_but_snap"
"Montana",15,"0",48385,"none"
"Nebraska",15,"0",156257,"all_but_snap"
"Nevada",15,"0",334000,"none"
"New Hampshire",15,"0",45190,"all_but_snap"
"New Jersey",15,"0",594207,"none"
"New Mexico",15,"0",245000,"none"
"New York",15,"0",2077711,"none"
"North Carolina",15,"0",903320,"none"
"North Dakota",15,"0",39760,"all_but_snap"
"Ohio",15,"0",850000,"none"
"Oklahoma",15,"0",312021,"none"
"Oregon",15,"0",351000,"none"
"Pennsylvania",15,"0",991843,"none"
"Rhode Island",15,"0",74622,"none"
"South Carolina",15,"0",467000,"none"
"South Dakota",15,"0",62000,"all_but_snap"
"Tennessee",15,"0",615610,"all_but_snap"
"Texas",15,"0",3641635,"all_but_snap"
"Utah",15,"0",75000,"all_but_snap"
"Vermont",15,"0",39000,"none"
"Virginia",15,"0",594494,"none"
"Washington",15,"0",560267,"all_but_snap"
"West Virginia",15,"0",204542,"none"
"Wisconsin",15,"0",438000,"all_but_snap"
"Wyoming",15,"0",36271,"all"
"Alabama",16,"0",461000,"none"
"Alaska",16,"0",73000,"all_but_snap"
"Arizona",16,"0",703000,"none"
"Arkansas",16,"0",303120,"none"
"California",16,"0",3927173,"all_but_snap"
"Colorado",16,"0",356099,"all_but_snap"
"Connecticut",16,"0",289407,"none"
"Delaware",16,"0",61602,"none"
"District of Columbia",16,"0",86415,"none"
"Florida",16,"0",2065374,"none"
"Georgia",16,"0",1100000,"all_but_snap"
"Hawaii",16,"0",93297,"none"
"Idaho",16,"0",130000,"none"
"Illinois",16,"0",1099786,"all_but_snap"
"Indiana",16,"0",588127,"none"
"Iowa",16,"0",249404,"none"
"Kansas",16,"0",169795,"all_but_snap"
"Kentucky",16,"0",601551,"all_but_snap"
"Louisiana",16,"0",732204,"all"
"Maine",16,"0",84000,"all_but_snap"
"Maryland",16,"0",430954,"none"
"Massachusetts",16,"0",522000,"none"
"Michigan",16,"0",829722,"none"
"Minnesota",16,"0",349952,"all_but_snap"
"Mississippi",16,"0",345827,"none"
"Missouri",16,"0",454690,"all_but_snap"
"Montana",16,"0",48385,"none"
"Nebraska",16,"0",156257,"all_but_snap"
"Nevada",16,"0",334000,"none"
"New Hampshire",16,"0",45190,"all_but_snap"
"New Jersey",16,"0",594207,"none"
"New Mexico",16,"0",245000,"none"
"New York",16,"0",2077711,"none"
"North Carolina",16,"0",903320,"none"
"North Dakota",16,"0",39760,"all_but_snap"
"Ohio",16,"0",850000,"none"
"Oklahoma",16,"0",312021,"none"
"Oregon",16,"0",351000,"none"
"Pennsylvania",16,"0",991843,"none"
"Rhode Island",16,"0",74622,"none"
"South Carolina",16,"0",467000,"none"
"South Dakota",16,"0",62000,"all_but_snap"
"Tennessee",16,"0",615610,"all_but_snap"
"Texas",16,"0",3641635,"all_but_snap"
"Utah",16,"0",75000,"all_but_snap"
"Vermont",16,"0",39000,"none"
"Virginia",16,"0",594494,"none"
"Washington",16,"0",560267,"all_but_snap"
"West Virginia",16,"0",204542,"none"
"Wisconsin",16,"0",438000,"all_but_snap"
"Wyoming",16,"0",36271,"all"
"Alabama",17,"0",461000,"none"
"Alaska",17,"0",73000,"all_but_snap"
"Arizona",17,"0",703000,"none"
"Arkansas",17,"0",303120,"none"
"California",17,"0",3927173,"all_but_snap"
"Colorado",17,"0",356099,"all_but_snap"
"Connecticut",17,"0",289407,"none"
"Delaware",17,"0",61602,"none"
"District of Columbia",17,"0",86415,"none"
"Florida",17,"0",2065374,"none"
"Georgia",17,"0",1100000,"all_but_snap"
"Hawaii",17,"0",93297,"none"
"Idaho",17,"0",130000,"none"
"Illinois",17,"0",1099786,"all_but_snap"
"Indiana",17,"0",588127,"none"
"Iowa",17,"0",249404,"none"
"Kansas",17,"0",169795,"all_but_snap"
"Kentucky",17,"0",601551,"all_but_snap"
"Louisiana",17,"0",732204,"all"
"Maine",17,"0",84000,"all_but_snap"
"Maryland",17,"0",430954,"none"
"Massachusetts",17,"0",522000,"none"
"Michigan",17,"0",829722,"none"
"Minnesota",17,"0",349952,"all_but_snap"
"Mississippi",17,"0",345827,"none"
"Missouri",17,"0",454690,"all_but_snap"
"Montana",17,"0",48385,"none"
"Nebraska",17,"0",156257,"all_but_snap"
"Nevada",17,"0",334000,"none"
"New Hampshire",17,"0",45190,"all_but_snap"
"New Jersey",17,"0",594207,"none"
"New Mexico",17,"0",245000,"none"
"New York",17,"0",2077711,"none"
"North Carolina",17,"0",903320,"none"
"North Dakota",17,"0",39760,"all_but_snap"
"Ohio",17,"0",850000,"none"
"Oklahoma",17,"0",312021,"none"
"Oregon",17,"0",351000,"none"
"Pennsylvania",17,"0",991843,"none"
"Rhode Island",17,"0",74622,"none"
"South Carolina",17,"0",467000,"none"
"South Dakota",17,"0",62000,"all_but_snap"
"Tennessee",17,"0",615610,"all_but_snap"
"Texas",17,"0",3641635,"all_but_snap"
"Utah",17,"0",75000,"all_but_snap"
"Vermont",17,"0",39000,"none"
"Virginia",17,"0",594494,"none"
"Washington",17,"0",560267,"all_but_snap"
"West Virginia",17,"0",204542,"none"
"Wisconsin",17,"0",438000,"all_but_snap"
"Wyoming",17,"0",36271,"all"
