"state","t","pebt","est_beneficiaries","application"
"Montana",5,"0",48385,"none"
"Nebraska",5,"0",156257,"all_but_snap"
"Nevada",5,"0",334000,"none"
"New Hampshire",5,"0",45190,"all_but_snap"
"New Jersey",5,"0",594207,"none"
"New Mexico",5,"2",245000,"none"
"New Mexico",5,"0",245000,"none"
"New York",5,"0",2077711,"none"
"North Carolina",5,"0",903320,"none"
"North Carolina",5,"2",903320,"none"
"North Dakota",5,"0",39760,"all_but_snap"
"Ohio",5,"0",850000,"none"
"Oklahoma",5,"0",312021,"none"
"Oregon",5,"0",351000,"none"
"Pennsylvania",5,"0",991843,"none"
"Rhode Island",5,"0",74622,"none"
"South Carolina",5,"0",467000,"none"
"South Dakota",5,"0",62000,"all_but_snap"
"Tennessee",5,"0",615610,"all_but_snap"
"Texas",5,"0",3641635,"all_but_snap"
"Utah",5,"0",75000,"all_but_snap"
"Vermont",5,"0",39000,"none"
"Virginia",5,"0",594494,"none"
"Washington",5,"1",560267,"all_but_snap"
"Washington",5,"0",560267,"all_but_snap"
"West Virginia",5,"0",204542,"none"
"West Virginia",5,"1",204542,"none"
"Wisconsin",5,"0",438000,"all_but_snap"
"Wyoming",5,"0",36271,"all"
"Alabama",6,"0",461000,"none"
"Alaska",6,"0",73000,"all_but_snap"
"Arizona",6,"0",703000,"none"
"Arkansas",6,"0",303120,"none"
"Arkansas",6,"1",303120,"none"
"California",6,"0",3927173,"all_but_snap"
"Colorado",6,"0",356099,"all_but_snap"
"Connecticut",6,"0",289407,"none"
"Delaware",6,"0",61602,"none"
"District of Columbia",6,"0",86415,"none"
"Florida",6,"0",2065374,"none"
"Georgia",6,"0",1100000,"all_but_snap"
"Hawaii",6,"0",93297,"none"
"Idaho",6,"0",130000,"none"
"Illinois",6,"0",1099786,"all_but_snap"
"Indiana",6,"0",588127,"none"
"Iowa",6,"0",249404,"none"
"Iowa",6,"1",249404,"none"
"Kansas",6,"0",169795,"all_but_snap"
"Kentucky",6,"0",601551,"all_but_snap"
"Louisiana",6,"0",732204,"all"
"Maine",6,"0",84000,"all_but_snap"
"Maryland",6,"0",430954,"none"
"Massachusetts",6,"0",522000,"none"
"Michigan",6,"0",829722,"none"
"Minnesota",6,"0",349952,"all_but_snap"
"Mississippi",6,"0",345827,"none"
"Missouri",6,"0",454690,"all_but_snap"
"Missouri",6,"1",454690,"all_but_snap"
"Montana",6,"0",48385,"none"
"Nebraska",6,"0",156257,"all_but_snap"
"Nevada",6,"0",334000,"none"
"New Hampshire",6,"0",45190,"all_but_snap"
"New Jersey",6,"1",594207,"none"
"New Jersey",6,"0",594207,"none"
"New Mexico",6,"0",245000,"none"
"New York",6,"0",2077711,"none"
"North Carolina",6,"0",903320,"none"
"North Dakota",6,"0",39760,"all_but_snap"
"Ohio",6,"0",850000,"none"
"Oklahoma",6,"1",312021,"none"
"Oklahoma",6,"0",312021,"none"
"Oregon",6,"0",351000,"none"
"Pennsylvania",6,"0",991843,"none"
"Rhode Island",6,"0",74622,"none"
"South Carolina",6,"1",467000,"none"
"South Carolina",6,"0",467000,"none"
"South Dakota",6,"1",62000,"all_but_snap"
"South Dakota",6,"0",62000,"all_but_snap"
"Tennessee",6,"0",615610,"all_but_snap"
"Texas",6,"0",3641635,"all_but_snap"
"Utah",6,"0",75000,"all_but_snap"
"Vermont",6,"0",39000,"none"
"Virginia",6,"0",594494,"none"
"Washington",6,"0",560267,"all_but_snap"
"West Virginia",6,"0",204542,"none"
"Wisconsin",6,"0",438000,"all_but_snap"
"Wyoming",6,"0",36271,"all"
"Alabama",7,"0",461000,"none"
"Alaska",7,"0",73000,"all_but_snap"
"Arizona",7,"0",703000,"none"
"Arkansas",7,"0",303120,"none"
"California",7,"0",3927173,"all_but_snap"
"California",7,"1",3927173,"all_but_snap"
"Colorado",7,"0",356099,"all_but_snap"
"Connecticut",7,"0",289407,"none"
"Delaware",7,"0",61602,"none"
"District of Columbia",7,"0",86415,"none"
"Florida",7,"0",2065374,"none"
"Georgia",7,"0",1100000,"all_but_snap"
"Hawaii",7,"0",93297,"none"
"Hawaii",7,"1",93297,"none"
"Idaho",7,"0",130000,"none"
"Illinois",7,"0",1099786,"all_but_snap"
"Indiana",7,"0",588127,"none"
"Iowa",7,"1",249404,"none"
"Iowa",7,"0",249404,"none"
"Kansas",7,"0",169795,"all_but_snap"
"Kentucky",7,"0",601551,"all_but_snap"
"Louisiana",7,"0",732204,"all"
"Maine",7,"0",84000,"all_but_snap"
"Maryland",7,"0",430954,"none"
"Massachusetts",7,"0",522000,"none"
"Michigan",7,"0",829722,"none"
"Minnesota",7,"0",349952,"all_but_snap"
"Mississippi",7,"0",345827,"none"
"Missouri",7,"0",454690,"all_but_snap"
"Montana",7,"0",48385,"none"
"Nebraska",7,"0",156257,"all_but_snap"
"Nevada",7,"0",334000,"none"
"New Hampshire",7,"0",45190,"all_but_snap"
"New Jersey",7,"0",594207,"none"
"New Mexico",7,"0",245000,"none"
"New York",7,"0",2077711,"none"
"North Carolina",7,"0",903320,"none"
"North Carolina",7,"3",903320,"none"
"North Dakota",7,"0",39760,"all_but_snap"
"Ohio",7,"0",850000,"none"
"Oklahoma",7,"0",312021,"none"
"Oregon",7,"0",351000,"none"
"Pennsylvania",7,"0",991843,"none"
"Rhode Island",7,"0",74622,"none"
"South Carolina",7,"0",467000,"none"
"South Carolina",7,"1",467000,"none"
"South Dakota",7,"0",62000,"all_but_snap"
"Tennessee",7,"0",615610,"all_but_snap"
"Texas",7,"0",3641635,"all_but_snap"
"Utah",7,"0",75000,"all_but_snap"
"Vermont",7,"0",39000,"none"
"Virginia",7,"0",594494,"none"
"Washington",7,"0",560267,"all_but_snap"
"West Virginia",7,"0",204542,"none"
"Wisconsin",7,"0",438000,"all_but_snap"
"Wyoming",7,"0",36271,"all"
"Alabama",8,"0",461000,"none"
"Alaska",8,"0",73000,"all_but_snap"
"Arizona",8,"0",703000,"none"
"Arkansas",8,"0",303120,"none"
"California",8,"0",3927173,"all_but_snap"
"Colorado",8,"1",356099,"all_but_snap"
"Colorado",8,"0",356099,"all_but_snap"
"Connecticut",8,"0",289407,"none"
"Delaware",8,"0",61602,"none"
"District of Columbia",8,"0",86415,"none"
"Florida",8,"0",2065374,"none"
"Georgia",8,"1",1100000,"all_but_snap"
"Georgia",8,"0",1100000,"all_but_snap"
"Hawaii",8,"0",93297,"none"
"Idaho",8,"0",130000,"none"
"Illinois",8,"0",1099786,"all_but_snap"
"Indiana",8,"0",588127,"none"
"Iowa",8,"0",249404,"none"
"Kansas",8,"0",169795,"all_but_snap"
"Kentucky",8,"0",601551,"all_but_snap"
"Louisiana",8,"0",732204,"all"
"Maine",8,"0",84000,"all_but_snap"
"Maryland",8,"0",430954,"none"
"Massachusetts",8,"0",522000,"none"
"Michigan",8,"0",829722,"none"
"Minnesota",8,"0",349952,"all_but_snap"
"Mississippi",8,"0",345827,"none"
"Missouri",8,"0",454690,"all_but_snap"
"Montana",8,"0",48385,"none"
"Nebraska",8,"1",156257,"all_but_snap"
"Nebraska",8,"0",156257,"all_but_snap"
"Nevada",8,"0",334000,"none"
"New Hampshire",8,"0",45190,"all_but_snap"
"New Jersey",8,"0",594207,"none"
"New Mexico",8,"0",245000,"none"
"New York",8,"0",2077711,"none"
"North Carolina",8,"0",903320,"none"
"North Dakota",8,"0",39760,"all_but_snap"
"Ohio",8,"0",850000,"none"
"Oklahoma",8,"0",312021,"none"
